<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saveh.Cement,20200413,31450.00,31450.00,31450.00,30703.00,26981080800,857904,18653,D,29953.00,31450.00
Saveh.Cement,20200412,31044.00,31044.00,31044.00,29953.00,13909481508,448057,9673,D,29566.00,31044.00
Saveh.Cement,20200411,30667.00,30667.00,30667.00,29566.00,12893510812,420436,11229,D,29207.00,30667.00
Saveh.Cement,20200408,29885.00,29885.00,29885.00,29207.00,29618784420,991092,26051,D,28462.00,29885.00
Saveh.Cement,20200407,29114.00,29114.00,29114.00,28462.00,29174178638,1002067,27977,D,27728.00,29114.00
Saveh.Cement,20200406,28482.00,28482.00,28079.00,27728.00,23934592362,840341,22694,D,27126.00,28482.00
Saveh.Cement,20200405,28079.00,28079.00,28079.00,27126.00,15276043002,544038,14871,D,26742.00,28079.00
Saveh.Cement,20200404,27728.00,27728.00,27728.00,26742.00,13267404352,478484,13408,D,26408.00,27728.00
Saveh.Cement,20200330,27424.00,27424.00,27424.00,26408.00,11901906304,433996,11371,D,26119.00,27424.00
Saveh.Cement,20200329,27090.00,27090.00,27090.00,26119.00,13153441140,485546,12756,D,25800.00,27090.00
Saveh.Cement,20200328,26777.00,26777.00,26777.00,25800.00,12273318281,458353,11535,D,25502.00,26777.00
Saveh.Cement,20200325,26570.00,26570.00,26570.00,25502.00,8233538170,309881,8675,D,25305.00,26570.00
Saveh.Cement,20200324,26418.00,26418.00,26418.00,25305.00,6035060010,228445,6476,D,25160.00,26418.00
Saveh.Cement,20200318,26267.00,26267.00,26267.00,25160.00,6408149854,243962,6960,D,25017.00,26267.00
Saveh.Cement,20200317,26141.00,26141.00,26141.00,25017.00,5359035705,205005,5892,D,24897.00,26141.00
Saveh.Cement,20200316,26011.00,26011.00,26011.00,24897.00,5551943906,213446,6132,D,24773.00,26011.00
Saveh.Cement,20200315,24773.00,24773.00,24773.00,24773.00,72655195774,2932838,5167,D,23594.00,24773.00
Saveh.Cement,20200314,24675.00,24675.00,24675.00,23594.00,4186977375,169685,4926,D,23500.00,24675.00
Saveh.Cement,20200311,23500.00,23500.00,23500.00,23500.00,1374745723000,58499818,1611941,D,1000.00,23500.00
