<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rishmac.Prod.&EXP,20200413,33055.00,33149.00,31812.00,32099.00,198051291873,6170072,3710,D,33486.00,31812.00
Rishmac.Prod.&EXP,20200412,33451.00,34990.00,32702.00,33486.00,196568895687,5870212,3537,D,34021.00,32990.00
Rishmac.Prod.&EXP,20200411,34690.00,35478.00,32907.00,34021.00,138408069353,4068298,3049,D,34533.00,33450.00
Rishmac.Prod.&EXP,20200408,34765.00,34792.00,33800.00,34533.00,176859080147,5121397,3312,D,33136.00,34089.00
Rishmac.Prod.&EXP,20200407,33769.00,33769.00,33769.00,33136.00,30814786573,912517,596,D,32161.00,33769.00
Rishmac.Prod.&EXP,20200406,31233.00,33408.00,30228.00,32161.00,236831912094,7363993,5043,D,31818.00,33408.00
Rishmac.Prod.&EXP,20200405,33236.00,33236.00,31576.00,31818.00,244157937526,7673587,5528,D,33237.00,31576.00
Rishmac.Prod.&EXP,20200404,33000.00,34264.00,32801.00,33237.00,281404365409,8466722,6092,D,33237.00,32920.00
Rishmac.Prod.&EXP,20200330,32992.00,34380.00,32992.00,33237.00,367738563770,11064284,6855,D,34728.00,33000.00
Rishmac.Prod.&EXP,20200329,35891.00,35891.00,32900.00,34728.00,423784077976,12202797,9011,D,34182.00,33300.00
Rishmac.Prod.&EXP,20200328,34525.00,34525.00,34525.00,34182.00,41548110025,1203421,787,D,32881.00,34525.00
Rishmac.Prod.&EXP,20200325,33634.00,33634.00,33634.00,32881.00,28649138494,851791,343,D,32033.00,33634.00
Rishmac.Prod.&EXP,20200324,32663.00,32663.00,32663.00,32033.00,31222300396,955892,634,D,31108.00,32663.00
Rishmac.Prod.&EXP,20200318,31260.00,31292.00,29200.00,31108.00,156912335645,5044051,2967,D,29802.00,31292.00
Rishmac.Prod.&EXP,20200317,29900.00,30060.00,28628.00,29802.00,253755400725,8514814,3994,D,28629.00,30060.00
Rishmac.Prod.&EXP,20200316,29300.00,29478.00,26700.00,28629.00,238007288729,8313433,4057,D,28075.00,29478.00
Rishmac.Prod.&EXP,20200315,28040.00,28845.00,28040.00,28075.00,59891413603,2133237,796,D,29515.00,28040.00
Rishmac.Prod.&EXP,20200314,30000.00,30000.00,28853.00,29515.00,34170880629,1171497,872,D,30371.00,28853.00
Rishmac.Prod.&EXP,20200311,30010.00,31988.00,29544.00,30371.00,292051090580,9616259,5942,D,31098.00,29881.00
Rishmac.Prod.&EXP,20200310,32449.00,32449.00,30827.00,31098.00,93397794674,3003365,1580,D,34156.00,30827.00
Rishmac.Prod.&EXP,20200307,34600.00,34600.00,33022.00,34156.00,39229608655,1146189,470,D,33913.00,33333.00
Rishmac.Prod.&EXP,20200304,33913.00,33913.00,33913.00,33913.00,67452312653,1988981,525,D,32299.00,33913.00
Rishmac.Prod.&EXP,20200303,32299.00,32299.00,32299.00,32299.00,64249299996,1989204,451,D,30761.00,32299.00
