<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghiam.AGRI&Husb,20200413,22987.00,22987.00,22300.00,22510.00,49947566507,2218884,1621,D,23252.00,22378.00
Ghiam.AGRI&Husb,20200412,23550.00,23897.00,22700.00,23252.00,66399345097,2855582,2029,D,23257.00,22971.00
Ghiam.AGRI&Husb,20200411,22350.00,24000.00,22350.00,23257.00,56429090879,2426291,2163,D,23394.00,22953.00
Ghiam.AGRI&Husb,20200408,23930.00,23930.00,22901.00,23394.00,67003975442,2864188,2316,D,22797.00,23000.00
Ghiam.AGRI&Husb,20200407,21201.00,22876.00,21201.00,22797.00,53228722532,2334862,1085,D,21787.00,22876.00
Ghiam.AGRI&Husb,20200406,22101.00,23600.00,21299.00,21787.00,45629098940,2096063,2040,D,22419.00,21920.00
Ghiam.AGRI&Husb,20200405,23600.00,23600.00,22101.00,22419.00,60694806505,2707350,2571,D,23210.00,22300.00
Ghiam.AGRI&Husb,20200404,24119.00,24119.00,22557.00,23210.00,86064095427,3708068,3010,D,23196.00,22909.00
Ghiam.AGRI&Husb,20200330,23132.00,23710.00,23132.00,23196.00,105498670966,4548064,3146,D,24349.00,23410.00
Ghiam.AGRI&Husb,20200329,24900.00,25100.00,23343.00,24349.00,75019610711,3081074,3044,D,24221.00,23450.00
Ghiam.AGRI&Husb,20200328,24400.00,24409.00,23000.00,24221.00,52217401135,2155864,2188,D,23247.00,24409.00
Ghiam.AGRI&Husb,20200325,23472.00,23472.00,22570.00,23247.00,44424613290,1894381,1326,D,22355.00,23472.00
Ghiam.AGRI&Husb,20200324,22560.00,22570.00,21900.00,22355.00,53679638753,2401273,1918,D,21496.00,22570.00
Ghiam.AGRI&Husb,20200318,21100.00,21564.00,20980.00,21496.00,84418154434,3927166,2293,D,20538.00,21564.00
Ghiam.AGRI&Husb,20200317,20800.00,21840.00,19760.00,20538.00,77758502041,3786100,2563,D,18238.00,20979.00
Ghiam.AGRI&Husb,20200309,36502.00,36999.00,34715.00,35475.00,206394552714,5818048,5114,D,36542.00,36500.00
Ghiam.AGRI&Husb,20200307,37999.00,38000.00,35100.00,36542.00,152610256157,4176277,3909,D,36774.00,35399.00
Ghiam.AGRI&Husb,20200304,36774.00,36774.00,36744.00,36774.00,103520701864,2815076,1550,D,35023.00,36774.00
Ghiam.AGRI&Husb,20200303,35023.00,35023.00,35023.00,35023.00,102472114596,2925852,1509,D,33356.00,35023.00
Ghiam.AGRI&Husb,20200302,33356.00,33356.00,33038.00,33356.00,143188230657,4292778,1524,D,31768.00,33356.00
Ghiam.AGRI&Husb,20200301,31768.00,31768.00,31624.00,31768.00,180919112180,5695043,2369,D,30256.00,31768.00
Ghiam.AGRI&Husb,20200229,29000.00,30528.00,29000.00,30256.00,112873483664,3730640,1856,D,29075.00,30528.00
Ghiam.AGRI&Husb,20200226,30558.00,30558.00,28102.00,29075.00,70725943237,2432521,1822,D,29457.00,28749.00
Ghiam.AGRI&Husb,20200225,30000.00,30000.00,29009.00,29457.00,74702091666,2535939,1597,D,29223.00,29380.00
Ghiam.AGRI&Husb,20200224,30498.00,30498.00,28660.00,29223.00,55087026493,1885052,1422,D,29826.00,29400.00
Ghiam.AGRI&Husb,20200223,29995.00,30105.00,29005.00,29826.00,55171309597,1849764,1289,D,28672.00,29930.00
Ghiam.AGRI&Husb,20200222,28086.00,30000.00,28086.00,28672.00,53780607661,1875748,1328,D,29564.00,28990.00
Ghiam.AGRI&Husb,20200219,28600.00,30237.00,28600.00,29564.00,38621468771,1306359,1294,D,29635.00,29600.00
Ghiam.AGRI&Husb,20200218,29700.00,31000.00,29549.00,29635.00,57883422254,1953182,1414,D,31104.00,29549.00
Ghiam.AGRI&Husb,20200217,33490.00,33490.00,30329.00,31104.00,60506638547,1945286,1829,D,31925.00,30780.00
Ghiam.AGRI&Husb,20200216,31978.00,32009.00,31002.00,31925.00,70227447868,2199769,1331,D,30485.00,32009.00
Ghiam.AGRI&Husb,20200215,30616.00,30616.00,29700.00,30485.00,97552558753,3200060,2183,D,29159.00,30616.00
Ghiam.AGRI&Husb,20200212,28600.00,29170.00,28600.00,29159.00,82824557041,2840443,1747,D,27781.00,29170.00
Ghiam.AGRI&Husb,20200210,27200.00,28530.00,26855.00,27781.00,49166896274,1769781,999,D,28256.00,28000.00
Ghiam.AGRI&Husb,20200209,29200.00,29200.00,27760.00,28256.00,35577231948,1259116,926,D,29221.00,27906.00
Ghiam.AGRI&Husb,20200208,30030.00,30030.00,27800.00,29221.00,39385151331,1347818,1008,D,28607.00,28779.00
Ghiam.AGRI&Husb,20200205,28900.00,29551.00,27700.00,28607.00,36907041181,1290132,1060,D,28234.00,29445.00
Ghiam.AGRI&Husb,20200204,29000.00,29880.00,27369.00,28234.00,69387131828,2457573,1750,D,28705.00,27680.00
Ghiam.AGRI&Husb,20200203,28705.00,28705.00,28705.00,28705.00,40873881945,1423929,691,D,27339.00,28705.00
Ghiam.AGRI&Husb,20200202,27358.00,27369.00,27002.00,27339.00,47532984846,1738670,1023,D,26066.00,27369.00
Ghiam.AGRI&Husb,20200201,24700.00,26163.00,24700.00,26066.00,74242478926,2848288,1386,D,24918.00,26163.00
Ghiam.AGRI&Husb,20200128,25596.00,25596.00,24501.00,24918.00,31739989417,1273770,1123,D,25137.00,24670.00
Ghiam.AGRI&Husb,20200127,25648.00,25648.00,24400.00,25137.00,22305031569,887349,691,D,25648.00,25004.00
Ghiam.AGRI&Husb,20200126,25290.00,25879.00,24721.00,25648.00,54209736881,2113598,1268,D,24647.00,25327.00
Ghiam.AGRI&Husb,20200125,24950.00,24960.00,24360.00,24647.00,38829139806,1575380,1281,D,24290.00,24930.00
Ghiam.AGRI&Husb,20200122,24597.00,24618.00,23990.00,24290.00,17835527211,734267,645,D,24249.00,24292.00
Ghiam.AGRI&Husb,20200121,24690.00,24690.00,23600.00,24249.00,22202389810,915587,756,D,23539.00,24129.00
Ghiam.AGRI&Husb,20200120,23450.00,23663.00,23000.00,23539.00,29874941879,1269180,850,D,22537.00,23663.00
Ghiam.AGRI&Husb,20200119,22800.00,23098.00,21860.00,22537.00,33547458327,1488583,896,D,22727.00,22917.00
Ghiam.AGRI&Husb,20200118,22222.00,23199.00,22222.00,22727.00,22410032405,986058,831,D,22260.00,22516.00
Ghiam.AGRI&Husb,20200115,22400.00,22800.00,21771.00,22260.00,21305065813,957117,681,D,22523.00,22272.00
Ghiam.AGRI&Husb,20200114,23899.00,23899.00,21664.00,22523.00,35570969165,1579294,956,D,22804.00,22400.00
Ghiam.AGRI&Husb,20200113,22804.00,22804.00,22740.00,22804.00,28575721469,1253108,445,D,21719.00,22804.00
Ghiam.AGRI&Husb,20200112,21719.00,21719.00,21719.00,21719.00,10851941788,499652,108,D,20685.00,21719.00
Ghiam.AGRI&Husb,20200111,20685.00,20685.00,20685.00,20685.00,11988777780,579588,154,D,20280.00,20685.00
Ghiam.AGRI&Husb,20200108,20280.00,20280.00,20280.00,20280.00,1713457200,84490,47,D,20693.00,20280.00
Ghiam.AGRI&Husb,20200107,20680.00,21197.00,20680.00,20693.00,27571464401,1332379,510,D,21768.00,20680.00
Ghiam.AGRI&Husb,20200105,21764.00,22200.00,21764.00,21768.00,34634595030,1591072,571,D,22909.00,21764.00
Ghiam.AGRI&Husb,20200104,22909.00,22909.00,22909.00,22909.00,11305110411,493479,122,D,24114.00,22909.00
Ghiam.AGRI&Husb,20200101,24998.00,24999.00,23657.00,24114.00,28143442898,1167087,1001,D,24052.00,23699.00
