<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sanati.Doodeh.Fam,20200413,24378.00,24378.00,24378.00,23497.00,12802326102,525159,21455,D,23218.00,24378.00
Sanati.Doodeh.Fam,20200412,24231.00,24231.00,24231.00,23218.00,6422063085,265035,12212,D,23078.00,24231.00
Sanati.Doodeh.Fam,20200411,24059.00,24059.00,24059.00,23078.00,7527676156,312884,14611,D,22914.00,24059.00
Sanati.Doodeh.Fam,20200408,23694.00,23694.00,23694.00,22914.00,16836150804,710566,32497,D,22566.00,23694.00
Sanati.Doodeh.Fam,20200407,23387.00,23387.00,23387.00,22566.00,14164593807,605661,28339,D,22274.00,23387.00
Sanati.Doodeh.Fam,20200406,23106.00,23106.00,22919.00,22274.00,12979564440,561740,26862,D,22006.00,23106.00
Sanati.Doodeh.Fam,20200405,22919.00,22919.00,22919.00,22006.00,8628109659,376461,16635,D,21828.00,22919.00
Sanati.Doodeh.Fam,20200404,22764.00,22764.00,22764.00,21828.00,7187733000,315750,15074,D,21680.00,22764.00
Sanati.Doodeh.Fam,20200330,22638.00,22638.00,22638.00,21680.00,5936136360,262220,12474,D,21560.00,22638.00
Sanati.Doodeh.Fam,20200329,22496.00,22496.00,22496.00,21560.00,6667544448,296388,13954,D,21425.00,22496.00
Sanati.Doodeh.Fam,20200328,22370.00,22370.00,22370.00,21425.00,5929325090,265057,12596,D,21305.00,22370.00
Sanati.Doodeh.Fam,20200325,22275.00,22275.00,22275.00,21305.00,4466538450,200518,9609,D,21215.00,22275.00
Sanati.Doodeh.Fam,20200324,22201.00,22201.00,22201.00,21215.00,3548630041,159841,7670,D,21144.00,22201.00
Sanati.Doodeh.Fam,20200318,22125.00,22125.00,22125.00,21144.00,3618986250,163570,7874,D,21072.00,22125.00
Sanati.Doodeh.Fam,20200317,22061.00,22061.00,22061.00,21072.00,3070869139,139199,6684,D,21011.00,22061.00
Sanati.Doodeh.Fam,20200316,21984.00,21984.00,21984.00,21011.00,3686628864,167696,7150,D,20938.00,21984.00
Sanati.Doodeh.Fam,20200315,21932.00,21932.00,21932.00,20938.00,2532027468,115449,4319,D,20888.00,21932.00
Sanati.Doodeh.Fam,20200314,21811.00,21811.00,21811.00,20888.00,5800635450,265950,7394,D,20773.00,21811.00
Sanati.Doodeh.Fam,20200311,21756.00,21756.00,21756.00,20773.00,2819534088,129598,6294,D,20720.00,21756.00
Sanati.Doodeh.Fam,20200310,21715.00,21715.00,21715.00,20720.00,2046356455,94237,4560,D,20681.00,21715.00
Sanati.Doodeh.Fam,20200309,20927.00,20927.00,20927.00,20681.00,39572726803,1890989,4310,D,19931.00,20927.00
Sanati.Doodeh.Fam,20200307,20895.00,20895.00,20895.00,19931.00,1642723110,78618,3801,D,19900.00,20895.00
Sanati.Doodeh.Fam,20200304,19900.00,19900.00,19900.00,19900.00,676597910500,33999895,1619279,D,1000.00,19900.00
